"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"240770_at",-1.65211968712211,5.34423094255243,-6.92152621936519,4.1311752836297e-10,4.07330923782582e-09,12.6393226492505
"205462_s_at",-1.34128221125636,9.15139101115487,-6.92152185253788,4.13126176337451e-10,4.07330923782582e-09,12.6393021875676
"225932_s_at",1.03265942096077,12.8712878525247,6.92143267315096,4.13302824571745e-10,4.07431537154092e-09,12.6388843198816
"205852_at",-2.56273344464168,7.10526338711863,-6.9203025390336,4.15547906750148e-10,4.09570796450926e-09,12.6335890158682
"210041_s_at",1.27605443095281,8.1589859711397,6.91966107664472,4.16827580553844e-10,4.10461677908169e-09,12.6305835441557
"212298_at",1.38051647268766,9.49854891274426,6.9165492817234,4.23090998572967e-10,4.16254165106565e-09,12.6160051011806
"1560411_at",-1.62788447889622,7.28710457688343,-6.91636848455506,4.23457758297896e-10,4.16464947846623e-09,12.6151581554817
"230213_at",1.10038668434933,7.49081304585403,6.91597682350831,4.242533503054e-10,4.17097177681887e-09,12.6133234429826
"202465_at",2.43292573118528,7.87912602156528,6.91589398245403,4.24421817211075e-10,4.17187701644141e-09,12.6129353837402
"1554576_a_at",1.98504090701616,6.99195498361607,6.91500789219456,4.26227933853902e-10,4.18812273327872e-09,12.6087846994224
"1555240_s_at",2.12377907204415,6.67897838665796,6.91412838833012,4.28028151671786e-10,4.2050551263269e-09,12.6046650520819
"211431_s_at",-1.06324194183296,8.56254924530236,-6.91337375210006,4.29578783913376e-10,4.2180126080297e-09,12.6011304386211
"208097_s_at",1.34234987051417,9.94843051414793,6.91267211882573,4.31025495264935e-10,4.23145701472297e-09,12.5978442053111
"1554697_at",2.71349085385732,6.50868312235354,6.91230819139687,4.31777783564675e-10,4.23731897463029e-09,12.5961397278927
"222879_s_at",1.41616504784565,7.06947232036812,6.91139821127985,4.33664533277719e-10,4.25507027594252e-09,12.5918779156844
"219025_at",1.15734217303017,9.03031274209149,6.91120060385433,4.34075329571605e-10,4.25833590334005e-09,12.5909524646579
"217077_s_at",-2.57186725792679,9.70809887825942,-6.91083428035513,4.34837880929403e-10,4.26505050129265e-09,12.5892368935064
"206831_s_at",1.90853577502327,5.69140074701083,6.9106413606675,4.35240002173066e-10,4.26749609083922e-09,12.5883334222693
"209257_s_at",1.25676838820456,8.42106965338355,6.91063968368895,4.35243499276262e-10,4.26749609083922e-09,12.5883255687713
"231963_at",-1.75119581931847,7.73031891811414,-6.91052515655463,4.35482395378888e-10,4.26907199045543e-09,12.5877892256157
"233072_at",-1.85325587099399,7.32037342145315,-6.90928427734871,4.3807912790037e-10,4.29298679562586e-09,12.5819782522525
