"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","33/2156","78/9399",0.423076923076923,1.84438775510204,4.08545875220908,0.000105583816080541,0.000596037671422407,0.000335215171596963,"5579/7097/3654/4615/3126/5970/3122/3676/2212/3113/3123/7042/3688/4792/3108/7040/3115/2215/3127/9103/3725/5595/1535/3119/1917/3689/5600/3117/718/2209/6772/653361/4689",33
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","41/2156","105/9399",0.39047619047619,1.70226610124569,3.94800666128738,0.000145094328092996,0.000802259761871217,0.000451195715699,"5601/5058/805/5532/5534/1540/5602/808/5291/3551/9261/5970/868/5530/834/801/2207/23365/841/5599/10000/1960/4792/602/4775/3708/208/3725/5595/29108/5600/4773/4046/10892/3709/6772/64581/22808/4193/6237/6850",41
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","54/2156","149/9399",0.36241610738255,1.5799392362192,3.8930287957325,0.000148763279102426,0.000802259761871217,0.000451195715699,"2149/108/8525/2913/5604/56894/11069/5291/2778/2917/1956/2912/2915/6464/2768/1759/107/2911/2207/26052/8526/8395/10000/56034/111/10411/1609/1902/23236/208/9170/5595/3815/53358/2185/56895/1785/23533/1608/10555/1607/9266/5337/23566/8605/8612/8394/22808/6237/6009/6850/80310/9265/5294",54
"Human Diseases","Cancer: specific types","hsa05214","Glioma","32/2156","76/9399",0.421052631578947,1.83556293330729,3.99016611188116,0.000148991098633226,0.000802259761871217,0.000451195715699,"805/5579/5582/7157/57118/816/57172/5604/818/673/808/5291/1956/815/6464/801/814/10000/581/1019/208/5595/53358/595/1021/4616/1643/3479/1647/7039/4193/1029",32
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","21/2156","44/9399",0.477272727272727,2.08065230224321,3.91988459658838,0.00025890003828666,0.00137295474848987,0.000772158008925128,"3133/3107/3106/2572/5798/3135/3105/3134/3126/5799/3122/3113/3123/3108/3115/3127/3119/2571/355/3329/3117",21
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","22/2156","47/9399",0.468085106382979,2.04059921841077,3.90178227293464,0.000263908381140492,0.00137862587162944,0.000775347482690842,"774/5601/775/5602/5291/777/3551/5581/3098/5599/5590/8471/8651/5595/776/6833/773/3099/8835/8913/122809/9021",22
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","31/2156","75/9399",0.413333333333333,1.80191094619666,3.80398238302953,0.000280415433353557,0.00144331473049625,0.000811728886023455,"6241/983/1111/1017/7157/9133/51512/894/8795/5054/55240/3486/841/9540/581/891/1019/836/595/1021/64393/355/4616/1643/3479/1647/4193/56475/84883/5268/1029",31
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","59/2156","170/9399",0.347058823529412,1.51298974135109,3.6824653916897,0.000291182457391442,0.00147701246502906,0.000830680694617845,"57180/5601/55844/5872/998/4734/9693/9223/5111/8531/5567/5602/1740/81873/5515/9071/5522/7277/1741/11346/5581/23327/50848/5521/4478/58494/91862/4301/5599/54566/56288/5962/10627/3688/5590/10095/1019/861/3725/5563/776/3059/595/7074/4214/653857/87/7430/4629/5010/6093/24146/79778/154810/5516/2064/150084/5519/137075",59
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","29/2156","69/9399",0.420289855072464,1.83223763813826,3.78541878063641,0.000311143557805233,0.00154419788779215,0.000868466180502651,"805/5136/3778/775/5532/5534/2773/5567/2776/808/2983/2778/1909/5530/801/116/5137/153/2982/111/2770/3708/23236/22802/776/5153/358/3709/1908",29
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","43/2156","115/9399",0.373913043478261,1.63005969186093,3.70890668505504,0.00031325157152355,0.00154419788779215,0.000868466180502651,"774/5579/5582/3356/3358/10681/775/2773/55970/5567/2785/5604/2776/673/260293/3760/2562/2778/2787/2775/2783/3763/59345/3765/2560/2561/111/2770/10411/836/3361/3708/23236/5595/776/773/51764/3709/8605/54331/1558/94235/2786",43
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","38/2156","99/9399",0.383838383838384,1.6733288356665,3.67439797259454,0.00037521009113294,0.00182393794300735,0.00102579367020263,"5601/4853/8202/108/7157/5567/5602/5604/1031/673/5469/5291/2778/1956/182/6464/107/5599/10000/581/111/4313/1019/4851/208/3725/5595/53358/595/3714/5600/6667/4318/3479/4193/10683/1029/2064",38
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","34/2156","86/9399",0.395348837209302,1.7235082193554,3.6773142898066,0.000396509963605625,0.00190107516797218,0.00106917610950616,"27445/5579/5582/6804/108/3778/775/5567/5864/816/818/2776/6844/11069/2778/815/6262/9699/107/116/885/478/6616/111/10242/1131/23236/776/6833/481/1388/27345/3780/886",34
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","29/2156","70/9399",0.414285714285714,1.80606281473628,3.69303323650595,0.000416328410585542,0.00196912086087756,0.00110744541649355,"3133/3107/3106/3135/3105/3134/4842/3126/3122/3113/841/3123/3108/3115/3127/6641/836/857/8082/3119/595/1604/3689/6444/1837/3117/5880/958/4625",29
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","36/2156","93/9399",0.387096774193548,1.68753366449219,3.63527085041749,0.000438197141499003,0.00204491999366202,0.00115007530470616,"5601/6416/805/5598/5579/998/108/775/5567/5602/816/5604/818/2776/808/2778/1956/815/4323/801/107/5599/111/4313/3708/23236/3725/5595/776/2185/4214/5600/5337/3709/8605/2798",36
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","61/2156","180/9399",0.338888888888889,1.47737322201608,3.5280542529586,0.000477313623848872,0.00219815484667244,0.00123625550775262,"1978/3133/6672/56829/3107/7157/3106/7097/3135/5291/7132/5818/3654/3105/3551/3665/4615/6428/3134/3678/3126/6890/6429/5970/57506/3122/972/7098/3113/841/3123/10000/581/5819/4792/3108/3115/4940/3127/836/3455/208/811/3119/567/64135/4938/6892/355/3690/684/5371/3117/718/6772/115004/9021/6009/4939/6850/6352",61
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","28/2156","68/9399",0.411764705882353,1.79507257448434,3.5898804886786,0.000585173481350858,0.00265987946068572,0.0014959322079646,"1978/5604/673/5291/890/6774/3551/5970/6777/10000/862/861/4609/208/83439/8900/5595/3815/929/595/5914/6688/5371/2209/1848/4353/597/51176",28
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","38/2156","101/9399",0.376237623762376,1.64019361119785,3.52906865901951,0.000593821320084032,0.00266458284653091,0.00149857742045498,"5601/5579/998/1282/1284/2335/5602/5291/6774/5581/5970/5054/1281/6777/5599/10000/7042/581/1278/5590/4313/7040/1019/7422/1277/836/50507/23236/208/3725/5595/595/6401/5600/6772/7412/4087/7048",38
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","31/2156","78/9399",0.397435897435897,1.73260667903525,3.54462076303996,0.000632513946941662,0.00280227698012129,0.0015760174294216,"5601/805/2773/5602/808/3654/712/4615/3678/5970/834/801/715/714/5599/713/3688/2770/836/716/710/23643/3725/5595/929/29108/3689/5600/718/717/720",31
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","24/2156","56/9399",0.428571428571429,1.86834084283064,3.55569027429992,0.000714621339174665,0.00312646835888916,0.00175834461086398,"11127/8945/91653/408/5567/1452/64750/6608/23432/894/157/84976/53944/64399/132884/2736/8452/595/2619/2121/57467/2737/4036/57758",24
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","47/2156","133/9399",0.353383458646617,1.54056174759719,3.42537275053617,0.00074026790504013,0.00319868847856846,0.00179896164057835,"5601/23710/51701/1017/5602/5604/9133/1032/673/5291/6774/3551/1956/894/2911/604/10769/5599/10000/9456/9454/7042/6648/891/114907/7040/847/8471/208/116986/5595/5563/5347/595/5934/5600/4616/3479/1647/9140/4193/11067/10110/10733/10018/7048/1030",47
